	authors	journal	year	impact	high	middle	low	first	index	last
18	D. Waltemath, M. Golebiewski, M. Blinov, P. Gleeson, H. Hermjakob, E. Inau, S. Keating, <b>M. König</b>, O. Krebs, R. Malik-Sheriff, D. Nickerson, E. Oberortner, H. Sauro, F. Schreiber, L. Smith, M. Stefan, U. Wittig, and C. Myers	J Integr Bioinform. 2020 Jun 29;17(2-3):20200005	2020	1.5	False	False	True	False	True	False
19	F. Schreiber, B. Sommer, G. Bader, P. Gleeson, M. Golebiewski, T. Gorochowski, M. Hucka, S. Keating, <b>M. König</b>, C. Myers, D. Nickerson, and D. Walthemath	J Integr Bioinform. 2020 Jun 29;17(2-3):20200022	2020	1.5	False	False	True	False	True	False
20	M. L. Neal, J. H. Gennari, D. Waltemath, D. P. Nickerson, and <b>M. König</b>	J Integr Bioinform. 2020 Jun 25;17(2-3):20200020	2020	1.5	False	False	True	False	False	True
21	S. M. Keating, D. Waltemath, <b>M. König</b>, F. Zhang, A. Dräger, C. Chaouiya, F. T. Bergmann, A. Finney, C. S. Gillespie, T. Helikar, S. Hoops, R. S. Malik-Sheriff, S. L. Moodie, I. I. Moraru, C. J. Myers, A. Naldi, B. G. Olivier, S. Sahle, J. C. Schaff, L. P. Smith, M. J. Swat, DT, L. Watanabe, D. J. Wilkinson, M. L. Blinov, K. Begley, J. R. Faeder, H. F. Gómez, T. M. Hamm, Y. Inagaki, W. Liebermeister, A. L. Lister, D. Lucio, E. Mjolsness, C. J. Proctor, K. Raman, N. Rodriguez, C. A. Shaffer, B. E. Shapiro, J. Stelling, N. Swainston, N. Tanimura, J. Wagner, M. Meier-Schellersheim, H. M. Sauro, B. Palsson, H. Bolouri, H. Kitano, A. Funahashi, H. Hermjakob, J. C. Doyle, M. Hucka, and SBML Community members	Mol Syst Biol. 2020;16(8):e9110	2020	8.8	False	True	False	False	True	False
22	J. Grzegorzewski, J. Brandhorst, K. Green, D. Eleftheriadou, Y. Duport, F. Barthorscht, A. Köller, D. Y. J. Ke, S. De Angelis, and <b>M. König</b>	Nucleic Acids Res. 2021 Jan 8;49(D1):D1358-D1364	2020	16.7	True	False	False	False	False	True
23	J. Gennari, <b>M. König</b>, G. Misirli, M. Neal, D. Nickerson, and D. Waltemath	J Integr Bioinform. 2021 Oct 20;18(3):20210020	2021	1.5	False	False	True	False	True	False
24	H. Panchiwala, S. Shah, H. Planatscher, M. Zakharchuk, <b>M. König</b>, and A. Dräger	 Bioinformatics. 2022 Jan 12;38(3):864-865	2021	6.0	False	True	False	False	True	False
25	L. P. Smith, F. T. Bergmann, A. Garny, T. Helikar, J. Karr, D. Nickerson, H. Sauro, D. Waltemath, and <b>M. König</b>	Journal of Integrative Bioinformatics, vol. 18, no. 3, 2021, pp. 20210021	2021	1.5	False	False	True	False	False	True
26	T. G. Yamada, K. Ii, <b>M. König</b>, M. Feierabend, A. Dräger, and A. Funahashi	Processes 9, no. 10: 1830	2021	2.8	False	False	True	False	True	False
27	F. Schreiber, P. Gleeson, M. Golebiewski, T. Gorochowski, M. Hucka, S. Keating, <b>M. König</b>, C. Myers, D. Nickerson, and D. Walthemath	J Integr Bioinform. 2021 Oct 22;18(3):20210026</a>	2021	1.5	False	False	True	False	True	False
28	A. Köller, J. Grzegorzewski, and <b>M. König</b>	Front Physiol. 2021 Nov 22;12:757293	2021	3.2	False	False	True	False	False	True
29	A. Köller, J. Grzegorzewski, M. Tautenhahn, and <b>M. König</b>	Front. Physiol., 22 November 2021	2021	3.2	False	False	True	False	False	True
30	J. Grzegorzewski, F. Bartsch, A. Köller, and <b>M. König</b>	Frontiers in Pharmacology 2022, Vol12	2022	4.4	False	False	True	False	False	True
31	B. Shaikh, L. P. Smith, D. Vasilescu, G. Marupilla, M. Wilson, E. Agmon, H. Agnew, S. S. Andrews, A. Anwar, M. E. Beber, F. T. Bergmann, D. Brooks, L. Brusch, L. Calzone, K. Choi, J. Cooper, J. Detloff, B. Drawert, M. Dumontier, G. B. Ermentrout, J. R. Faeder, A. P. Freiburger, F. Fröhlich, A. Funahashi, A. Garny, J. H. Gennari, P. Gleeson, A. Goelzer, Z. Haiman, J. Hasenauer, J. L. Hellerstein, H. Hermjakob, S. Hoops, J. C. Ison, D. Jahn, H. V. Jakubowski, R. Jordan, M. Kalaš, <b>M. König</b>, W. Liebermeister, R. S. M. Sheriff, S. Mandal, R. McDougal, J. K. Medley, P. Mendes, R. Müller, C. J. Myers, A. Naldi, T. V. N. Nguyen, D. P. Nickerson, B. G. Olivier, D. Patoliya, L. Paulevé, L. R. Petzold, A. Priya, A. K. Rampadarath, J. M. Rohwer, A. S. Saglam, D. Singh, A. Sinha, J. Snoep, H. Sorby, R. Spangler, J. Starruß, P. J. Thomas, D. van Niekerk, D. Weindl, F. Zhang, A. Zhukova, A. P. Goldberg, J. C. Schaff, M. L. Blinov, H. M. Sauro, I. I. Moraru, and J. R. Karr	Nucleic Acids Res. 2022 May 7;50(W1):W108–14	2022	16.7	True	False	False	False	True	False
32	J. Grzegorzewski, J. Brandhorst, and <b>M. König</b>	Front Pharmacol. 2022 Oct 24;13:1029073	2022	4.4	False	False	True	False	False	True
33	M. Albadry, S. Höpfl, N. Ehteshamzad, <b>M. König</b>, M. Böttcher, J. Neumann, A. Lupp, O. Dirsch, N. Radde, B. Christ, M. Christ, L. Schwen, H. Laue, R. Klopfleisch, and U. Dahmen	Sci Rep. 2022 Dec 17;12(1):21825	2022	3.8	False	False	True	False	True	False
34	C. Welsh, J. Xu, L. Smith, <b>M. König</b>, K. Choi, and H. M. Sauro	Bioinformatics. 2023 Jan 1;39(1):btac770	2023	6.0	False	True	False	False	True	False
35	<b>M. König</b>, P. Gleeson, M. Golebiewski, T. Gorochowski, M. Hucka, S. Keating, C. Myers, D. Nickerson, and F. Schreiber	J Integr Bioinform. 2023 Mar 29;20(1).	2023	1.5	False	False	True	True	False	False
36	M. D. Maheshvare, S. Raha, <b>M. KönigΔ</b>, and D. PalΔ (Δ equal contribution)	Front. Endocrinol. 14:1185656	2023	5.7	False	True	False	False	False	True
37	F. E. Kohrs, S. Auer, A. Bannach-Brown, S. Fiedler, T. L. Haven, V. Heise, C. Holman, F. Azevedo, R. Bernard, A. Bleier, N. Bössel, B. P. Cahill, L. J. Castro, A. Ehrenhofer, K. Eichel, M. Frank, C. Frick, M. Friese, A. Gärtner, K. Gierend, D. J. Grüning, L. Hahn, M. Hülsemann, M. Ihle, S. Illius, L. König, <b>M. König</b>, L. Kulke, A. Kutlin, F. Lammers, D. M. A. Mehler, C. Miehl, A. Müller-Alcazar, C. Neuendorf, H. Niemeyer, F. Pargent, A. Peikert, C. U. Pfeuffer, R. Reinecke, J. P. Röer, J. L. Rohmann, A. Sánchez-Tójar, S. Scherbaum, E. Sixtus, L. Spitzer, V. M. Straßburger, M. Weber, C. J. Whitmire, J. Zerna, D. Zorbek, P. Zumstein, and T. L. Weissgerber	eLife (2023) 12:e89736.	2023	6.4	False	True	False	False	True	False
38	L. Lambers, N. Waschinsky, J. Schleicher, <b>M. König</b>, H. Tautenhahn, M. Albadry, U. Dahmen, and T. Ricken	Biomech Model Mechanobiol. 2024 Feb 25.	2024	3.1	False	False	True	False	True	False
39	L. P. Smith, F. T. Bergmann, A. Garny, T. Helikar, J. Karr, D. Nickerson, H. Sauro, D. Waltemath, and <b>M. König</b>	J Integr Bioinform. 2024 Apr 15	2024	1.5	False	False	True	False	False	True
40	S. Höpfl, M. Albadry, U. Dahmen, K. H. Herrmann, E. M. Kindler, <b>M. König</b>, J. R. Reichenbach, H. M. Tautenhahn, W. Wei, W. T. Zhao, and N. E. Radde	Bioinformatics. 2024 May 2;40(5):btae312	2024	6.0	False	True	False	False	True	False
41	M. Albadry, J. Kuettner, J. Grzegorzewski, O. Dirsch, E. Kindler, R. Klopfleisch, V. Liska, V. Moulisova, S. Nickel, R. Palek, J. Rosendorf, S. Saalfeld, U. Settmacher, H. Tautenhahn, <b>M. KönigΔ</b>, and U. DahmenΔ (Δ equal contribution)	Front Pharmacol. 2024 May 16;15:1404938	2024	5.4	False	True	False	False	False	True
42	M. Golebiewski, G. Bader, P. Gleeson, T. E. Gorochowski, S. M. Keating, <b>M. König</b>, C. J. Myers, D. P. Nickerson, B. Sommer, D. Waltemath, and F. Schreiber	J Integr Bioinform. 2024 Jul 22	2024	1.5	False	False	True	False	True	False
43	S. Eissazadeh, P. Fikrova, J. U. Rathouska, I. Nemeckova, K. Tripska, M. Vasinova, R. Havelek, S. Mohammadi, I. C. Igreja Sa, C. Theuer, <b>M. König</b>, S. Micuda, and P. Nachtigal	Life Sci. 2025 Jan 29:123428	2025	5.2	False	True	False	False	True	False
44	P. Baum, T. Ebert, N. Klöting, S. Krupka, <b>M. König</b>, S. Paeschke, P. Stock, M. Bulc, M. Blüher, K. Palus, M. Nowicki, and J. Kosacka	Neurosci Res. 2025 Apr 17:S0168-0102(25)00070-7	2025	2.4	False	False	True	False	True	False
45	M. Elias and <b>M. König</b>	Physiome. October 20, 2025	2025		False	False	False	False	False	True
46	M. Elias and <b>M. König</b>	Front. Pharmacol. 16:1686415.	2025	4.8	False	False	True	False	False	True
47	M. Myshkina, M. Elias, E. Tensil, and <b>M. König</b>	Physiome. February 2, 2026	2026		False	False	False	False	False	True
48	E. Tensil, M. Myshkina, and <b>M. König</b>	Pharmaceutics 2026, 18(2), 262; https://doi.org/10.3390/pharmaceutics18020262	2026	6.9	False	True	False	False	False	True
49	N. Nemitz, M. Elias, and <b>M. König</b>	Pharmaceutics 2026, 18(3), 287; https://doi.org/10.3390/pharmaceutics18030287	2026	6.9	False	True	False	False	False	True
50	H. M. Sauro, E. Agmon, M. L. Blinov, J. H. Gennari, J. Hellerstein, A. Heydarabadipour, P. Hunter, B. E. Jardine, E. May, D. P. Nickerson, L. P. Smith, G. D. Bader, F. Bergmann, P. M. Boyle, A. Drager, J. R. Faeder, S. Feng, J. Freire, F. Frohlich, J. A. Glazier, T. E. Gorochowski, T. Helikar, S. Hoops, P. Imoukhuede, S. M. Keating, <b>M. König</b>, R. Laubenbacher, L. M. Loew, C. F. Lopez, W. W. Lytton, A. McCulloch, P. Mendes, C. J. Myers, J. G. Myers, L. Mulugeta, A. Niarakis, D. D. van Niekerk, B. G. Olivier, A. A. Patrie, E. M. Quardokus, N. Radde, J. M. Rohwer, S. Sahle, J. C. Schaff, T. Sego, J. Shin, J. L. Snoep, R. Vadigepalli, H. S. Wiley, D. Waltemath, and I. Moraru	npj Syst Biol Appl (2026)	2026	3.6	False	False	True	False	True	False
51	M. Bafna, <b>M. König</b>, S. Saalfeld, V. Moulisova, V. Liska, U. Dahmen, and M. Albadry	Front. Bioinform. 6:1713736	2026	3.9	False	False	True	False	True	False
52	M. Elias, M. Myshkina, N. Nemitz, and <b>M. König</b>	Physiome. May 13, 2026	2026		False	False	False	False	False	True
53	T. J. Sego, <b>M. König</b>, L. L. Fonseca, D. Pathirana, F. T. Bergmann, H. E. Grecco, M. Silberberg, S. Ray, B. Fain, A. C. Knapp, K. Tiwari, H. Hermjakob, H. M. Sauro, J. A. Glazier, R. C. Laubenbacher, and R. S. Malik-Sheriff	npj Complex (2026)	2026	1.6	False	False	True	False	True	False
54	D. Pathirana, F. Fröhlich, S. Persson, F. T. Bergmann, <b>M. König</b>, P. F. Lang, S. Bang, S. Kemmer, J. Hasenauer, and D. Weindl	J Integr Bioinform. 	2026	1.5	False	False	True	False	True	False
55	B. G. Olivier, F. T. Bergmann, S. Keating, and <b>M. König</b>	J Integr Bioinform. 2026; 20260006	2026	1.5	False	False	True	False	False	True
