	authors	journal	year	impact	high	middle	low	first	index	last
0	C. Gille, C. Bölling, A. Hoppe, S. Bulik, S. Hoffmann, K. Hübner, A. Karlstädt, R. Ganeshan, <b>M. König</b>, K. Rother, M. Weidlich, J. Behre, and H. G. Holzhütter	Mol Syst Biol. 2010 Sep 7;6:411	2010	8.6	False	True	False	False	True	False
1	<b>M. König</b>, S. Bulik, and H. G. Holzhütter	PLoS Comput Biol. 2012 Jun;8(6):e1002577. Epub 2012 Jun 21.	2012	4.9	False	False	True	True	False	False
2	<b>M. König</b>, A. Dräger, and H. G. Holzhütter	Bioinformatics. 2012 Sep 15;28(18):2402-3	2012	6.0	False	True	False	True	False	False
3	<b>M. König</b> and H. G. Holzhütter	J Biol Chem. 2012 Oct 26;287(44):36978-89	2012	4.7	False	False	True	True	False	False
4	<b>M. König</b>, H. G. Holzhütter, and N. Berndt	Biotechnol J. 2013 Sep;8(9):1058-69.	2013	3.7	False	False	True	True	False	False
5	T. Ricken, D. Werner, H. G. Holzhütter, <b>M. König</b>, U. Dahmen, and O. Dirsch	Biomech Model Mechanobiol. 2015 Jun;14(3):515-36	2014	3.0	False	False	True	False	True	False
6	E. T. Somogyi, J. M. Bouteiller, J. A. Glazier, <b>M. König</b>, J. K. Medley, M. H. Swat, and H. M. Sauro	Bioinformatics. 2015 Oct 15;31(20):3315-21	2015	6.0	False	True	False	False	True	False
7	Kerstin A.<b>Δ</b>, <b>M. KönigΔ</b>, A. Hoppe, M. Thomas, I. Müller, M. Ebert, H. Weng, H. G. Holzhütter, U. M. Zanger, J. Bode, B. Vollmar, and S. Dooley (Δ equal contribution)	BMC Syst Biol. 2015 Nov 20;9(1):83.	2015	2.2	False	False	True	True	False	False
8	Wholecell Consortium (<b>M. König</b>)	IEEE Trans Biomed Eng. 2016 Jun 10.	2016	4.4	False	False	True	False	True	False
9	K. Medley, K. Choi, <b>M. König</b>, L. Smith, S. Gu, J. Hellerstein, S. Sealfon, and H. M. Sauro	PLoS Comput Biol. 2018 Jun 15;14(6):e1006220	2018	4.5	False	False	True	False	True	False
10	M. Neal, <b>M. König</b>, D. Nickerson, G. Misirli, R. Kalbasi, A. Dräger, K. Atalag, V. Chelliah, M. Cooling, D. Cook, S. Crook, M. de Alba, S. Friedman, A. Garny, J. Gennari, P. Gleeson, M. Golebiewski, M. Hucka, N. Juty, N. L. Novère, C. Myers, B. Olivier, H. Sauro, M. Scharm, J. Snoep, V. Touré, A. Wipat, O. Wolkenhauer, and D. Waltemath	Brief Bioinform. 2019 Mar 22;20(2):540-550	2018	7.9	False	True	False	False	True	False
11	F. T. Bergmann, J. Cooper, <b>M. KönigΔ</b>, I. Moraru, D. Nickerson, N. Le Novère, B. G. Olivier, S. Sahle, L. Smith, and D. Waltemath <b>Δ corresponding author</b>	J Integr Bioinform. 2018 Mar 19;15(1)	2018	1.5	False	False	True	False	True	False
12	N. Berndt, S. Bulik, I. Wallach, T. Wünsch, <b>M. König</b>, M. Stockmann, M. Meierhofer, and H. G. Holzhütter	Nat Commun. 2018 Jun 19;9(1):2386.	2018	15.4	True	False	False	False	True	False
13	K. Choi, K. Medley, <b>M. König</b>, K. Stocking, L. Smith, S. Gu, and H. M. Sauro	Biosystems. 2018 Jul 24. pii: S0303-2647(18)30125-4	2018	2.0	False	False	True	False	True	False
14	M. Hucka, F. Bergmann, C. Chaouiya, A. Dräger, S. Hoops, S. Keating, <b>M. König</b>, N. Le Novere, C. Myers, B. Olivier, S. Sahle, J. Schaff, R. Sheriff, L. Smith, D. Waltemath, D. Wilkinson, and F. Zhang	J Integr Bioinform. 2019 Jun 20;16(2);	2019	1.5	False	False	True	False	True	False
15	F. Schreiber, G. Bader, P. Gleeson, M. Golebiewski, M. Hucka, S. M. Keating, <b>M. König</b>, C. Myers, D. Nickerson, B. Sommer, and D. Waltemath	J Integr Bioinform. 2019 Jul 13;16(2)	2019	1.5	False	False	True	False	True	False
16	C. Lieven, M. E. Beber, B. G. Olivier, F. T. Bergmann, M. Ataman, P. Babaei, J. A. Bartell, L. M. Blank, S. Chauhan, K. Correia, C. Diener, A. Dräger, B. E. Ebert, J. N. Edirisinghe, J. P. Faria, A. Feist, G. Fengos, R. M. T. Fleming, B. Garcia-Jimenez, V. Hatzimanikatis, W. van Helvoirt, C. Henry, H. Hermjakob, M. J. Herrgard, H. U. Kim, Z. King, J. J. Koehorst, <b>M. König</b>, S. Klamt, E. Klipp, M. Lakshmanan, N. Le Novere, D. Lee, S. Y. Lee, S. Lee, N. E. Lewis, H. Ma, D. Machado, R. Mahadevan, P. Maia, A. Mardinoglu, G. L. Medlock, J. Monk, J. Nielsen, L. K. Nielsen, J. Nogales, I. Nookaew, O. Resendis, B. Palsson, J. A. Papin, K. R. Patil, M. Poolman, N. D. Price, A. Richelle, I. Rocha, B. Sanchez, P. Schaap, R. S. Malik Sheriff, S. Shoaie, N. Sonnenschein, B. Teusink, P. Vilaca, J. O. Vik, J. A. Wodke, J. C. Xavier, Q. Yuan, M. Zakhartsev, and C. Zhang	Nat Biotechnol. 2020;38(3):272-276	2020	33.1	True	False	False	False	True	False
17	L. Smith, S. Moodie, F. Bergmann, C. Gillespie, S. Keating, <b>M. König</b>, C. Myers, M. Swat, D. Wilkinson, and M. Hucka	J Integr Bioinform. 2020 Jul 20;17(2-3):20200018	2020	1.5	False	False	True	False	True	False
